customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CU-10000,Male,0,Yes,No,47,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),20.32,983.96,0
CU-10001,Female,0,No,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),20.73,1494.74,0
CU-10002,Female,0,Yes,Yes,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,26.87,501.86,0
CU-10003,Male,0,No,No,2,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),62.4,153.17,1
CU-10004,Male,0,Yes,No,41,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,93.19,3796.26,1
CU-10005,Female,1,Yes,No,6,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),90.84,555.63,1
CU-10006,Male,0,Yes,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,26.68,11.48,0
CU-10007,Female,0,Yes,Yes,3,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,92.79,286.85,0
CU-10008,Male,0,No,No,57,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),85.66,4889.32,0
CU-10009,Male,1,Yes,Yes,13,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,No,Credit card (automatic),74.01,966.2,1
CU-10010,Female,0,No,No,47,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,61.01,2867.03,0
CU-10011,Female,0,Yes,Yes,18,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.69,1825.73,0
CU-10012,Female,0,Yes,Yes,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,21.9,1178.02,0
CU-10013,Female,1,Yes,No,15,No,No phone service,DSL,No,No,No,No,Yes,No,Two year,Yes,Mailed check,42.6,604.03,0
CU-10014,Female,0,Yes,No,2,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Two year,Yes,Electronic check,83.18,165.23,0
CU-10015,Female,0,No,No,3,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,93.68,270.59,1
CU-10016,Female,0,No,No,44,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Electronic check,79.09,3484.81,0
CU-10017,Male,1,Yes,No,72,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),44.89,3221.68,0
CU-10018,Female,0,No,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,23.32,218.44,0
CU-10019,Male,0,No,Yes,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,18.25,107.79,0
CU-10020,Female,1,No,Yes,8,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Two year,No,Electronic check,61.62,517.62,0
CU-10021,Male,0,No,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,21.76,106.76,0
CU-10022,Male,0,No,No,52,Yes,No,DSL,No,No,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),51.44,2667.86,1
CU-10023,Female,0,No,No,21,Yes,Yes,DSL,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),44.72,923.75,1
CU-10024,Female,0,No,No,1,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,66.46,76.3,0
CU-10025,Female,0,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),82.3,299.58,1
CU-10026,Male,0,No,No,7,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),62.69,396.11,0
CU-10027,Female,0,Yes,No,17,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Electronic check,77.55,1302.71,0
